"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"0115C1110","1971-1980",153
"0115C1110","1981-1990",146
"0115C1110","1991-2000",100
"0115C1110","2001-2010",..
"0115C1110","2011-2020",2
"0115C1110","2021-2030",..
"0115C1110","Ok�nt",1
"0115C1110","Totalt",583
"0115C1120","-1920",13
"0115C1120","1921-1930",6
"0115C1120","1931-1940",15
"0115C1120","1941-1950",8
"0115C1120","1951-1960",144
"0115C1120","1961-1970",68
"0115C1120","1971-1980",269
"0115C1120","1981-1990",41
"0115C1120","1991-2000",7
"0115C1120","2001-2010",28
"0115C1120","2011-2020",9
"0115C1120","2021-2030",7
"0115C1120","Ok�nt",6
"0115C1120","Totalt",621
"0115C1130","-1920",9
"0115C1130","1921-1930",2
"0115C1130","1931-1940",2
"0115C1130","1941-1950",..
"0115C1130","1951-1960",1
"0115C1130","1961-1970",5
"0115C1130","1971-1980",5
"0115C1130","1981-1990",1
"0115C1130","1991-2000",43
"0115C1130","2001-2010",232
"0115C1130","2011-2020",68
"0115C1130","2021-2030",..
"0115C1130","Ok�nt",4
"0115C1130","Totalt",372
"0117A0010","-1920",21
"0117A0010","1921-1930",3
"0117A0010","1931-1940",5
"0117A0010","1941-1950",10
"0117A0010","1951-1960",25
"0117A0010","1961-1970",16
"0117A0010","1971-1980",26
"0117A0010","1981-1990",71
"0117A0010","1991-2000",9
"0117A0010","2001-2010",113
"0117A0010","2011-2020",6
"0117A0010","2021-2030",..
"0117A0010","Ok�nt",1
"0117A0010","Totalt",306
"0117A0020","-1920",598
"0117A0020","1921-1930",169
"0117A0020","1931-1940",212
"0117A0020","1941-1950",216
"0117A0020","1951-1960",402
"0117A0020","1961-1970",694
"0117A0020","1971-1980",762
"0117A0020","1981-1990",341
"0117A0020","1991-2000",199
"0117A0020","2001-2010",263
"0117A0020","2011-2020",216
"0117A0020","2021-2030",33
"0117A0020","Ok�nt",174
"0117A0020","Totalt",4279
"0117A0030","-1920",228
"0117A0030","1921-1930",184
"0117A0030","1931-1940",150
"0117A0030","1941-1950",101
"0117A0030","1951-1960",198
"0117A0030","1961-1970",352
"0117A0030","1971-1980",246
"0117A0030","1981-1990",123
"0117A0030","1991-2000",101
"0117A0030","2001-2010",177
"0117A0030","2011-2020",123
"0117A0030","2021-2030",9
"0117A0030","Ok�nt",58
"0117A0030","Totalt",2050
"0117C1010","-1920",12
"0117C1010","1921-1930",12
"0117C1010","1931-1940",98
"0117C1010","1941-1950",55
"0117C1010","1951-1960",43
"0117C1010","1961-1970",40
"0117C1010","1971-1980",48
"0117C1010","1981-1990",21
"0117C1010","1991-2000",49
"0117C1010","2001-2010",101
"0117C1010","2011-2020",120
"0117C1010","2021-2030",24
"0117C1010","Ok�nt",19
"0117C1010","Totalt",642
"0117C1020","-1920",49
"0117C1020","1921-1930",15
"0117C1020","1931-1940",21
"0117C1020","1941-1950",22
"0117C1020","1951-1960",39
"0117C1020","1961-1970",121
"0117C1020","1971-1980",121
"0117C1020","1981-1990",24
"0117C1020","1991-2000",23
"0117C1020","2001-2010",49
"0117C1020","2011-2020",110
"0117C1020","2021-2030",9
"0117C1020","Ok�nt",37
"0117C1020","Totalt",640
"0117C1030","-1920",26
"0117C1030","1921-1930",24
"0117C1030","1931-1940",78
"0117C1030","1941-1950",39
"0117C1030","1951-1960",113
"0117C1030","1961-1970",153
"0117C1030","1971-1980",317
"0117C1030","1981-1990",67
"0117C1030","1991-2000",81
"0117C1030","2001-2010",159
"0117C1030","2011-2020",34
"0117C1030","2021-2030",2
"0117C1030","Ok�nt",7
"0117C1030","Totalt",1100
"0117C1040","-1920",68
"0117C1040","1921-1930",62
"0117C1040","1931-1940",27
"0117C1040","1941-1950",22
"0117C1040","1951-1960",39
"0117C1040","1961-1970",207
"0117C1040","1971-1980",178
"0117C1040","1981-1990",90
"0117C1040","1991-2000",64
"0117C1040","2001-2010",75
"0117C1040","2011-2020",37
"0117C1040","2021-2030",1
"0117C1040","Ok�nt",7
"0117C1040","Totalt",877
"0117C1050","-1920",26
"0117C1050","1921-1930",7
"0117C1050","1931-1940",23
"0117C1050","1941-1950",34
"0117C1050","1951-1960",42
"0117C1050","1961-1970",28
"0117C1050","1971-1980",19
"0117C1050","1981-1990",17
"0117C1050","1991-2000",24
"0117C1050","2001-2010",182
"0117C1050","2011-2020",342
"0117C1050","2021-2030",7
"0117C1050","Ok�nt",32
"0117C1050","Totalt",783
"0117C1060","-1920",10
"0117C1060","1921-1930",36
"0117C1060","1931-1940",27
"0117C1060","1941-1950",10
"0117C1060","1951-1960",14
"0117C1060","1961-1970",308
"0117C1060","1971-1980",90
"0117C1060","1981-1990",26
"0117C1060","1991-2000",24
"0117C1060","2001-2010",35
"0117C1060","2011-2020",13
