"Antal bostadsbyggnader efter region, bygg�r och vart 5:e �r"

"region","bygg�r","2022"
"1280C2670","1981-1990",2
"1280C2670","1991-2000",..
"1280C2670","2001-2010",3
"1280C2670","2011-2020",1
"1280C2670","2021-2030",..
"1280C2670","Ok�nt",..
"1280C2670","Totalt",50
"1280C2680","-1920",12
"1280C2680","1921-1930",49
"1280C2680","1931-1940",5
"1280C2680","1941-1950",1
"1280C2680","1951-1960",..
"1280C2680","1961-1970",..
"1280C2680","1971-1980",7
"1280C2680","1981-1990",12
"1280C2680","1991-2000",4
"1280C2680","2001-2010",2
"1280C2680","2011-2020",1
"1280C2680","2021-2030",..
"1280C2680","Ok�nt",2
"1280C2680","Totalt",95
"1280C2690","-1920",3
"1280C2690","1921-1930",13
"1280C2690","1931-1940",2
"1280C2690","1941-1950",1
"1280C2690","1951-1960",1
"1280C2690","1961-1970",2
"1280C2690","1971-1980",1
"1280C2690","1981-1990",2
"1280C2690","1991-2000",..
"1280C2690","2001-2010",2
"1280C2690","2011-2020",..
"1280C2690","2021-2030",..
"1280C2690","Ok�nt",..
"1280C2690","Totalt",27
"1280C2700","-1920",..
"1280C2700","1921-1930",..
"1280C2700","1931-1940",8
"1280C2700","1941-1950",6
"1280C2700","1951-1960",..
"1280C2700","1961-1970",..
"1280C2700","1971-1980",..
"1280C2700","1981-1990",..
"1280C2700","1991-2000",..
"1280C2700","2001-2010",1
"1280C2700","2011-2020",..
"1280C2700","2021-2030",..
"1280C2700","Ok�nt",..
"1280C2700","Totalt",15
"1280C2710","-1920",..
"1280C2710","1921-1930",..
"1280C2710","1931-1940",2
"1280C2710","1941-1950",5
"1280C2710","1951-1960",4
"1280C2710","1961-1970",..
"1280C2710","1971-1980",..
"1280C2710","1981-1990",..
"1280C2710","1991-2000",..
"1280C2710","2001-2010",..
"1280C2710","2011-2020",..
"1280C2710","2021-2030",..
"1280C2710","Ok�nt",..
"1280C2710","Totalt",11
"1280C2720","-1920",..
"1280C2720","1921-1930",15
"1280C2720","1931-1940",5
"1280C2720","1941-1950",..
"1280C2720","1951-1960",..
"1280C2720","1961-1970",..
"1280C2720","1971-1980",..
"1280C2720","1981-1990",..
"1280C2720","1991-2000",..
"1280C2720","2001-2010",..
"1280C2720","2011-2020",..
"1280C2720","2021-2030",..
"1280C2720","Ok�nt",..
"1280C2720","Totalt",20
"1280C2730","-1920",1
"1280C2730","1921-1930",4
"1280C2730","1931-1940",..
"1280C2730","1941-1950",2
"1280C2730","1951-1960",4
"1280C2730","1961-1970",5
"1280C2730","1971-1980",1
"1280C2730","1981-1990",1
"1280C2730","1991-2000",6
"1280C2730","2001-2010",..
"1280C2730","2011-2020",..
"1280C2730","2021-2030",..
"1280C2730","Ok�nt",..
"1280C2730","Totalt",24
"1280C2740","-1920",2
"1280C2740","1921-1930",62
"1280C2740","1931-1940",20
"1280C2740","1941-1950",1
"1280C2740","1951-1960",9
"1280C2740","1961-1970",10
"1280C2740","1971-1980",38
"1280C2740","1981-1990",130
"1280C2740","1991-2000",220
"1280C2740","2001-2010",26
"1280C2740","2011-2020",2
"1280C2740","2021-2030",..
"1280C2740","Ok�nt",2
"1280C2740","Totalt",522
"1280C2750","-1920",1
"1280C2750","1921-1930",23
"1280C2750","1931-1940",28
"1280C2750","1941-1950",..
"1280C2750","1951-1960",..
"1280C2750","1961-1970",..
"1280C2750","1971-1980",..
"1280C2750","1981-1990",..
"1280C2750","1991-2000",1
"1280C2750","2001-2010",..
"1280C2750","2011-2020",2
"1280C2750","2021-2030",..
"1280C2750","Ok�nt",..
"1280C2750","Totalt",55
"1280C2760","-1920",27
"1280C2760","1921-1930",16
"1280C2760","1931-1940",4
"1280C2760","1941-1950",19
"1280C2760","1951-1960",3
"1280C2760","1961-1970",..
"1280C2760","1971-1980",7
"1280C2760","1981-1990",19
"1280C2760","1991-2000",..
"1280C2760","2001-2010",..
"1280C2760","2011-2020",..
"1280C2760","2021-2030",..
"1280C2760","Ok�nt",..
"1280C2760","Totalt",95
"1280C2770","-1920",4
"1280C2770","1921-1930",6
"1280C2770","1931-1940",4
"1280C2770","1941-1950",..
"1280C2770","1951-1960",..
"1280C2770","1961-1970",..
"1280C2770","1971-1980",..
"1280C2770","1981-1990",7
"1280C2770","1991-2000",..
"1280C2770","2001-2010",..
"1280C2770","2011-2020",..
"1280C2770","2021-2030",..
"1280C2770","Ok�nt",..
"1280C2770","Totalt",21
"1280C2780","-1920",3
"1280C2780","1921-1930",6
"1280C2780","1931-1940",3
"1280C2780","1941-1950",1
"1280C2780","1951-1960",..
"1280C2780","1961-1970",1
"1280C2780","1971-1980",6
"1280C2780","1981-1990",1
"1280C2780","1991-2000",..
"1280C2780","2001-2010",..
"1280C2780","2011-2020",..
"1280C2780","2021-2030",..
"1280C2780","Ok�nt",..
"1280C2780","Totalt",21
"1280C2790","-1920",..
"1280C2790","1921-1930",4
"1280C2790","1931-1940",1
"1280C2790","1941-1950",..
"1280C2790","1951-1960",..
"1280C2790","1961-1970",4
"1280C2790","1971-1980",1
"1280C2790","1981-1990",..
"1280C2790","1991-2000",..
"1280C2790","2001-2010",2
"1280C2790","2011-2020",..
"1280C2790","2021-2030",..
"1280C2790","Ok�nt",..
"1280C2790","Totalt",12
"1280C2800","-1920",1
"1280C2800","1921-1930",15
"1280C2800","1931-1940",..
"1280C2800","1941-1950",..
"1280C2800","1951-1960",1
"1280C2800","1961-1970",..
"1280C2800","1971-1980",2
"1280C2800","1981-1990",3
"1280C2800","1991-2000",..
"1280C2800","2001-2010",2
"1280C2800","2011-2020",..
"1280C2800","2021-2030",..
"1280C2800","Ok�nt",..
"1280C2800","Totalt",24
"1280C2810","-1920",1
"1280C2810","1921-1930",10
"1280C2810","1931-1940",6
"1280C2810","1941-1950",1
"1280C2810","1951-1960",2
"1280C2810","1961-1970",4
"1280C2810","1971-1980",1
"1280C2810","1981-1990",2
"1280C2810","1991-2000",1
"1280C2810","2001-2010",..
"1280C2810","2011-2020",3
"1280C2810","2021-2030",..
"1280C2810","Ok�nt",..
"1280C2810","Totalt",31
"1280C2820","-1920",5
"1280C2820","1921-1930",7
"1280C2820","1931-1940",9
"1280C2820","1941-1950",1
"1280C2820","1951-1960",1
"1280C2820","1961-1970",7
"1280C2820","1971-1980",3
"1280C2820","1981-1990",18
"1280C2820","1991-2000",1
"1280C2820","2001-2010",..
"1280C2820","2011-2020",..
"1280C2820","2021-2030",..
"1280C2820","Ok�nt",..
"1280C2820","Totalt",52
"1280C2830","-1920",..
"1280C2830","1921-1930",30
"1280C2830","1931-1940",2
"1280C2830","1941-1950",18
"1280C2830","1951-1960",15
"1280C2830","1961-1970",1
"1280C2830","1971-1980",..
"1280C2830","1981-1990",3
"1280C2830","1991-2000",..
"1280C2830","2001-2010",..
"1280C2830","2011-2020",..
"1280C2830","2021-2030",..
"1280C2830","Ok�nt",..
"1280C2830","Totalt",69
"1280C2840","-1920",32
"1280C2840","1921-1930",153
"1280C2840","1931-1940",18
"1280C2840","1941-1950",18
"1280C2840","1951-1960",4
"1280C2840","1961-1970",4
"1280C2840","1971-1980",1
"1280C2840","1981-1990",18
"1280C2840","1991-2000",9
"1280C2840","2001-2010",..
"1280C2840","2011-2020",3
"1280C2840","2021-2030",..
"1280C2840","Ok�nt",..
"1280C2840","Totalt",260
"1280C2850","-1920",..
"1280C2850","1921-1930",..
"1280C2850","1931-1940",..
"1280C2850","1941-1950",..
"1280C2850","1951-1960",..
"1280C2850","1961-1970",..
"1280C2850","1971-1980",..
"1280C2850","1981-1990",..
"1280C2850","1991-2000",..
"1280C2850","2001-2010",157
"1280C2850","2011-2020",4
"1280C2850","2021-2030",..
"1280C2850","Ok�nt",..
"1280C2850","Totalt",161
"1280C2860","-1920",..
"1280C2860","1921-1930",..
"1280C2860","1931-1940",..
"1280C2860","1941-1950",..
"1280C2860","1951-1960",9
"1280C2860","1961-1970",7
"1280C2860","1971-1980",..
"1280C2860","1981-1990",..
"1280C2860","1991-2000",..
"1280C2860","2001-2010",..
"1280C2860","2011-2020",..
"1280C2860","2021-2030",..
"1280C2860","Ok�nt",..
"1280C2860","Totalt",16
"1280C2870","-1920",..
"1280C2870","1921-1930",..
"1280C2870","1931-1940",..
"1280C2870","1941-1950",..
"1280C2870","1951-1960",..
"1280C2870","1961-1970",..
"1280C2870","1971-1980",..
"1280C2870","1981-1990",..
"1280C2870","1991-2000",..
"1280C2870","2001-2010",17
"1280C2870","2011-2020",21
"1280C2870","2021-2030",4
"1280C2870","Ok�nt",7
"1280C2870","Totalt",49
"1280C2880","-1920",..
"1280C2880","1921-1930",..
"1280C2880","1931-1940",..
"1280C2880","1941-1950",..
"1280C2880","1951-1960",..
"1280C2880","1961-1970",..
"1280C2880","1971-1980",..
"1280C2880","1981-1990",..
"1280C2880","1991-2000",..
"1280C2880","2001-2010",31
"1280C2880","2011-2020",27
"1280C2880","2021-2030",7
"1280C2880","Ok�nt",2
"1280C2880","Totalt",67
"1280C2890","-1920",..
"1280C2890","1921-1930",..
"1280C2890","1931-1940",..
"1280C2890","1941-1950",..
"1280C2890","1951-1960",..
"1280C2890","1961-1970",19
"1280C2890","1971-1980",..
"1280C2890","1981-1990",..
"1280C2890","1991-2000",..
"1280C2890","2001-2010",..
"1280C2890","2011-2020",..
"1280C2890","2021-2030",..
"1280C2890","Ok�nt",..
"1280C2890","Totalt",19
"1280C2900","-1920",..
"1280C2900","1921-1930",..
"1280C2900","1931-1940",..
"1280C2900","1941-1950",..
"1280C2900","1951-1960",..
"1280C2900","1961-1970",..
"1280C2900","1971-1980",..
"1280C2900","1981-1990",..
"1280C2900","1991-2000",..
"1280C2900","2001-2010",..
"1280C2900","2011-2020",36
"1280C2900","2021-2030",1
"1280C2900","Ok�nt",..
"1280C2900","Totalt",37
"1280C2910","-1920",..
"1280C2910","1921-1930",..
"1280C2910","1931-1940",..
"1280C2910","1941-1950",..
"1280C2910","1951-1960",5
"1280C2910","1961-1970",11
"1280C2910","1971-1980",..
"1280C2910","1981-1990",114
"1280C2910","1991-2000",..
"1280C2910","2001-2010",3
"1280C2910","2011-2020",16
"1280C2910","2021-2030",4
"1280C2910","Ok�nt",3
"1280C2910","Totalt",156
"1280C2920","-1920",11
"1280C2920","1921-1930",26
"1280C2920","1931-1940",9
"1280C2920","1941-1950",3
"1280C2920","1951-1960",2
"1280C2920","1961-1970",1
"1280C2920","1971-1980",..
"1280C2920","1981-1990",1
"1280C2920","1991-2000",1
"1280C2920","2001-2010",7
"1280C2920","2011-2020",4
"1280C2920","2021-2030",..
"1280C2920","Ok�nt",2
"1280C2920","Totalt",67
"1281A0010","-1920",212
"1281A0010","1921-1930",55
"1281A0010","1931-1940",49
"1281A0010","1941-1950",28
"1281A0010","1951-1960",11
"1281A0010","1961-1970",15
"1281A0010","1971-1980",10
"1281A0010","1981-1990",6
"1281A0010","1991-2000",10
"1281A0010","2001-2010",14
"1281A0010","2011-2020",7
"1281A0010","2021-2030",..
"1281A0010","Ok�nt",18
"1281A0010","Totalt",435
"1281A0020","-1920",378
"1281A0020","1921-1930",106
"1281A0020","1931-1940",99
"1281A0020","1941-1950",81
"1281A0020","1951-1960",93
"1281A0020","1961-1970",54
"1281A0020","1971-1980",74
"1281A0020","1981-1990",39
"1281A0020","1991-2000",46
"1281A0020","2001-2010",47
"1281A0020","2011-2020",46
"1281A0020","2021-2030",3
"1281A0020","Ok�nt",48
"1281A0020","Totalt",1114
"1281A0030","-1920",165
"1281A0030","1921-1930",57
"1281A0030","1931-1940",36
"1281A0030","1941-1950",43
"1281A0030","1951-1960",36
"1281A0030","1961-1970",51
"1281A0030","1971-1980",83
"1281A0030","1981-1990",47
"1281A0030","1991-2000",29
"1281A0030","2001-2010",35
"1281A0030","2011-2020",21
"1281A0030","2021-2030",4
"1281A0030","Ok�nt",49
"1281A0030","Totalt",656
"1281A0040","-1920",252
"1281A0040","1921-1930",81
"1281A0040","1931-1940",26
"1281A0040","1941-1950",22
"1281A0040","1951-1960",16
"1281A0040","1961-1970",14
"1281A0040","1971-1980",14
"1281A0040","1981-1990",20
"1281A0040","1991-2000",16
"1281A0040","2001-2010",16
"1281A0040","2011-2020",20
"1281A0040","2021-2030",3
"1281A0040","Ok�nt",20
"1281A0040","Totalt",520
"1281B2010","-1920",9
"1281B2010","1921-1930",4
"1281B2010","1931-1940",2
"1281B2010","1941-1950",1
"1281B2010","1951-1960",2
"1281B2010","1961-1970",4
"1281B2010","1971-1980",557
"1281B2010","1981-1990",94
"1281B2010","1991-2000",21
"1281B2010","2001-2010",26
"1281B2010","2011-2020",4
"1281B2010","2021-2030",..
"1281B2010","Ok�nt",7
"1281B2010","Totalt",731
"1281B2020","-1920",41
"1281B2020","1921-1930",15
"1281B2020","1931-1940",15
"1281B2020","1941-1950",6
"1281B2020","1951-1960",10
"1281B2020","1961-1970",128
"1281B2020","1971-1980",107
"1281B2020","1981-1990",47
"1281B2020","1991-2000",14
"1281B2020","2001-2010",12
"1281B2020","2011-2020",5
"1281B2020","2021-2030",5
"1281B2020","Ok�nt",6
"1281B2020","Totalt",411
"1281B2030","-1920",52
"1281B2030","1921-1930",19
"1281B2030","1931-1940",17
"1281B2030","1941-1950",32
"1281B2030","1951-1960",54
"1281B2030","1961-1970",237
"1281B2030","1971-1980",13
"1281B2030","1981-1990",6
"1281B2030","1991-2000",8
"1281B2030","2001-2010",3
"1281B2030","2011-2020",7
"1281B2030","2021-2030",3
"1281B2030","Ok�nt",16
"1281B2030","Totalt",467
"1281B2040","-1920",11
"1281B2040","1921-1930",1
"1281B2040","1931-1940",2
"1281B2040","1941-1950",2
"1281B2040","1951-1960",20
"1281B2040","1961-1970",119
"1281B2040","1971-1980",53
"1281B2040","1981-1990",4
"1281B2040","1991-2000",93
"1281B2040","2001-2010",142
"1281B2040","2011-2020",71
"1281B2040","2021-2030",11
"1281B2040","Ok�nt",25
"1281B2040","Totalt",554
"1281B3010","-1920",45
"1281B3010","1921-1930",5
"1281B3010","1931-1940",24
"1281B3010","1941-1950",14
"1281B3010","1951-1960",9
"1281B3010","1961-1970",2
"1281B3010","1971-1980",3
"1281B3010","1981-1990",16
"1281B3010","1991-2000",4
"1281B3010","2001-2010",66
"1281B3010","2011-2020",187
"1281B3010","2021-2030",13
"1281B3010","Ok�nt",5
"1281B3010","Totalt",393
"1281B3020","-1920",65
"1281B3020","1921-1930",14
"1281B3020","1931-1940",18
"1281B3020","1941-1950",12
"1281B3020","1951-1960",56
"1281B3020","1961-1970",189
"1281B3020","1971-1980",137
"1281B3020","1981-1990",10
"1281B3020","1991-2000",18
"1281B3020","2001-2010",18
"1281B3020","2011-2020",7
"1281B3020","2021-2030",..
"1281B3020","Ok�nt",7
"1281B3020","Totalt",551
"1281B3030","-1920",12
"1281B3030","1921-1930",3
"1281B3030","1931-1940",3
"1281B3030","1941-1950",7
"1281B3030","1951-1960",1
"1281B3030","1961-1970",1
"1281B3030","1971-1980",85
"1281B3030","1981-1990",216
"1281B3030","1991-2000",2
"1281B3030","2001-2010",18
"1281B3030","2011-2020",1
"1281B3030","2021-2030",1
"1281B3030","Ok�nt",1
"1281B3030","Totalt",351
"1281B3040","-1920",21
"1281B3040","1921-1930",2
"1281B3040","1931-1940",4
"1281B3040","1941-1950",11
"1281B3040","1951-1960",25
"1281B3040","1961-1970",223
"1281B3040","1971-1980",248
"1281B3040","1981-1990",13
"1281B3040","1991-2000",45
"1281B3040","2001-2010",3
"1281B3040","2011-2020",4
"1281B3040","2021-2030",2
"1281B3040","Ok�nt",3
"1281B3040","Totalt",604
"1281B4010","-1920",8
"1281B4010","1921-1930",..
"1281B4010","1931-1940",1
"1281B4010","1941-1950",4
"1281B4010","1951-1960",17
"1281B4010","1961-1970",28
"1281B4010","1971-1980",232
"1281B4010","1981-1990",66
"1281B4010","1991-2000",36
"1281B4010","2001-2010",71
"1281B4010","2011-2020",51
"1281B4010","2021-2030",1
"1281B4010","Ok�nt",21
"1281B4010","Totalt",536
"1281B4020","-1920",35
"1281B4020","1921-1930",24
"1281B4020","1931-1940",28
"1281B4020","1941-1950",23
"1281B4020","1951-1960",16
"1281B4020","1961-1970",35
"1281B4020","1971-1980",289
"1281B4020","1981-1990",14
"1281B4020","1991-2000",15
"1281B4020","2001-2010",2
"1281B4020","2011-2020",89
"1281B4020","2021-2030",1
"1281B4020","Ok�nt",4
"1281B4020","Totalt",575
"1281B4030","-1920",24
"1281B4030","1921-1930",31
"1281B4030","1931-1940",19
"1281B4030","1941-1950",26
"1281B4030","1951-1960",23
"1281B4030","1961-1970",132
"1281B4030","1971-1980",210
"1281B4030","1981-1990",29
"1281B4030","1991-2000",21
"1281B4030","2001-2010",94
"1281B4030","2011-2020",27
"1281B4030","2021-2030",4
"1281B4030","Ok�nt",6
"1281B4030","Totalt",646
"1281B5010","-1920",33
"1281B5010","1921-1930",19
"1281B5010","1931-1940",35
"1281B5010","1941-1950",15
"1281B5010","1951-1960",40
"1281B5010","1961-1970",188
"1281B5010","1971-1980",169
"1281B5010","1981-1990",46
"1281B5010","1991-2000",27
"1281B5010","2001-2010",62
"1281B5010","2011-2020",35
"1281B5010","2021-2030",3
"1281B5010","Ok�nt",24
"1281B5010","Totalt",696
"1281B5020","-1920",12
"1281B5020","1921-1930",17
"1281B5020","1931-1940",33
"1281B5020","1941-1950",17
"1281B5020","1951-1960",13
"1281B5020","1961-1970",35
"1281B5020","1971-1980",155
"1281B5020","1981-1990",20
"1281B5020","1991-2000",15
"1281B5020","2001-2010",45
"1281B5020","2011-2020",5
"1281B5020","2021-2030",1
"1281B5020","Ok�nt",6
"1281B5020","Totalt",374
"1281C1010","-1920",1
"1281C1010","1921-1930",13
"1281C1010","1931-1940",21
"1281C1010","1941-1950",7
"1281C1010","1951-1960",29
"1281C1010","1961-1970",12
"1281C1010","1971-1980",1
"1281C1010","1981-1990",9
"1281C1010","1991-2000",..
"1281C1010","2001-2010",8
"1281C1010","2011-2020",2
"1281C1010","2021-2030",..
"1281C1010","Ok�nt",1
"1281C1010","Totalt",104
"1281C1020","-1920",4
"1281C1020","1921-1930",26
"1281C1020","1931-1940",13
"1281C1020","1941-1950",7
"1281C1020","1951-1960",32
"1281C1020","1961-1970",37
"1281C1020","1971-1980",1
"1281C1020","1981-1990",23
"1281C1020","1991-2000",..
"1281C1020","2001-2010",1
"1281C1020","2011-2020",67
"1281C1020","2021-2030",..
"1281C1020","Ok�nt",3
"1281C1020","Totalt",214
"1281C1030","-1920",29
"1281C1030","1921-1930",9
"1281C1030","1931-1940",5
"1281C1030","1941-1950",9
"1281C1030","1951-1960",3
"1281C1030","1961-1970",4
"1281C1030","1971-1980",19
"1281C1030","1981-1990",..
"1281C1030","1991-2000",1
"1281C1030","2001-2010",52
"1281C1030","2011-2020",237
"1281C1030","2021-2030",16
"1281C1030","Ok�nt",19
"1281C1030","Totalt",403
"1281C1040","-1920",..
"1281C1040","1921-1930",..
"1281C1040","1931-1940",..
"1281C1040","1941-1950",..
"1281C1040","1951-1960",..
"1281C1040","1961-1970",10
"1281C1040","1971-1980",..
"1281C1040","1981-1990",..
"1281C1040","1991-2000",5
"1281C1040","2001-2010",..
"1281C1040","2011-2020",..
"1281C1040","2021-2030",..
"1281C1040","Ok�nt",..
"1281C1040","Totalt",15
"1281C1050","-1920",..
"1281C1050","1921-1930",..
"1281C1050","1931-1940",..
"1281C1050","1941-1950",..
"1281C1050","1951-1960",..
"1281C1050","1961-1970",15
"1281C1050","1971-1980",..
"1281C1050","1981-1990",..
"1281C1050","1991-2000",..
"1281C1050","2001-2010",..
"1281C1050","2011-2020",..
"1281C1050","2021-2030",..
"1281C1050","Ok�nt",..
"1281C1050","Totalt",15
"1281C1060","-1920",1
"1281C1060","1921-1930",23
"1281C1060","1931-1940",34
"1281C1060","1941-1950",18
"1281C1060","1951-1960",136
"1281C1060","1961-1970",95
"1281C1060","1971-1980",104
"1281C1060","1981-1990",4
"1281C1060","1991-2000",3
"1281C1060","2001-2010",20
"1281C1060","2011-2020",1
"1281C1060","2021-2030",..
"1281C1060","Ok�nt",2
"1281C1060","Totalt",441
"1281C1070","-1920",..
"1281C1070","1921-1930",1
"1281C1070","1931-1940",..
"1281C1070","1941-1950",..
"1281C1070","1951-1960",..
"1281C1070","1961-1970",6
"1281C1070","1971-1980",..
"1281C1070","1981-1990",..
"1281C1070","1991-2000",2
"1281C1070","2001-2010",11
"1281C1070","2011-2020",15
"1281C1070","2021-2030",2
"1281C1070","Ok�nt",..
"1281C1070","Totalt",37
"1281C1080","-1920",..
"1281C1080","1921-1930",..
"1281C1080","1931-1940",..
"1281C1080","1941-1950",..
"1281C1080","1951-1960",..
"1281C1080","1961-1970",1
"1281C1080","1971-1980",101
"1281C1080","1981-1990",..
"1281C1080","1991-2000",1
"1281C1080","2001-2010",..
"1281C1080","2011-2020",6
"1281C1080","2021-2030",1
"1281C1080","Ok�nt",1
"1281C1080","Totalt",111
"1281C1090","-1920",6
"1281C1090","1921-1930",30
"1281C1090","1931-1940",17
"1281C1090","1941-1950",28
"1281C1090","1951-1960",102
"1281C1090","1961-1970",17
"1281C1090","1971-1980",2
"1281C1090","1981-1990",..
"1281C1090","1991-2000",..
"1281C1090","2001-2010",6
"1281C1090","2011-2020",..
"1281C1090","2021-2030",..
"1281C1090","Ok�nt",..
"1281C1090","Totalt",208
"1281C1100","-1920",16
"1281C1100","1921-1930",10
"1281C1100","1931-1940",16
"1281C1100","1941-1950",5
"1281C1100","1951-1960",1
"1281C1100","1961-1970",..
"1281C1100","1971-1980",..
"1281C1100","1981-1990",6
"1281C1100","1991-2000",..
"1281C1100","2001-2010",16
"1281C1100","2011-2020",4
"1281C1100","2021-2030",4
"1281C1100","Ok�nt",..
"1281C1100","Totalt",78
"1281C1110","-1920",..
"1281C1110","1921-1930",..
"1281C1110","1931-1940",52
"1281C1110","1941-1950",89
"1281C1110","1951-1960",75
"1281C1110","1961-1970",47
"1281C1110","1971-1980",..
"1281C1110","1981-1990",..
"1281C1110","1991-2000",1
"1281C1110","2001-2010",1
"1281C1110","2011-2020",..
"1281C1110","2021-2030",..
"1281C1110","Ok�nt",1
"1281C1110","Totalt",266
"1281C1120","-1920",10
"1281C1120","1921-1930",14
"1281C1120","1931-1940",6
"1281C1120","1941-1950",1
"1281C1120","1951-1960",2
"1281C1120","1961-1970",10
"1281C1120","1971-1980",2
"1281C1120","1981-1990",10
"1281C1120","1991-2000",8
"1281C1120","2001-2010",..
"1281C1120","2011-2020",1
"1281C1120","2021-2030",..
"1281C1120","Ok�nt",1
"1281C1120","Totalt",65
"1281C1130","-1920",27
"1281C1130","1921-1930",41
"1281C1130","1931-1940",17
"1281C1130","1941-1950",2
"1281C1130","1951-1960",..
"1281C1130","1961-1970",2
"1281C1130","1971-1980",1
"1281C1130","1981-1990",13
"1281C1130","1991-2000",5
"1281C1130","2001-2010",..
"1281C1130","2011-2020",2
"1281C1130","2021-2030",..
"1281C1130","Ok�nt",4
"1281C1130","Totalt",114
"1281C1140","-1920",..
"1281C1140","1921-1930",..
"1281C1140","1931-1940",..
"1281C1140","1941-1950",..
"1281C1140","1951-1960",..
"1281C1140","1961-1970",..
"1281C1140","1971-1980",342
"1281C1140","1981-1990",17
"1281C1140","1991-2000",..
"1281C1140","2001-2010",..
"1281C1140","2011-2020",..
"1281C1140","2021-2030",..
"1281C1140","Ok�nt",2
"1281C1140","Totalt",361
"1281C1150","-1920",36
"1281C1150","1921-1930",49
"1281C1150","1931-1940",5
"1281C1150","1941-1950",7
"1281C1150","1951-1960",..
"1281C1150","1961-1970",1
"1281C1150","1971-1980",..
"1281C1150","1981-1990",12
"1281C1150","1991-2000",11
"1281C1150","2001-2010",1
"1281C1150","2011-2020",1
"1281C1150","2021-2030",..
"1281C1150","Ok�nt",11
"1281C1150","Totalt",134
"1281C1160","-1920",..
"1281C1160","1921-1930",..
"1281C1160","1931-1940",3
"1281C1160","1941-1950",..
"1281C1160","1951-1960",1
"1281C1160","1961-1970",..
"1281C1160","1971-1980",..
"1281C1160","1981-1990",126
"1281C1160","1991-2000",4
"1281C1160","2001-2010",106
"1281C1160","2011-2020",54
"1281C1160","2021-2030",..
"1281C1160","Ok�nt",1
"1281C1160","Totalt",295
"1281C1170","-1920",14
"1281C1170","1921-1930",17
"1281C1170","1931-1940",..
"1281C1170","1941-1950",..
"1281C1170","1951-1960",..
"1281C1170","1961-1970",..
"1281C1170","1971-1980",1
"1281C1170","1981-1990",14
"1281C1170","1991-2000",1
"1281C1170","2001-2010",5
"1281C1170","2011-2020",12
"1281C1170","2021-2030",1
"1281C1170","Ok�nt",2
"1281C1170","Totalt",67
"1281C1180","-1920",40
"1281C1180","1921-1930",52
"1281C1180","1931-1940",3
"1281C1180","1941-1950",8
"1281C1180","1951-1960",3
"1281C1180","1961-1970",4
"1281C1180","1971-1980",11
"1281C1180","1981-1990",7
"1281C1180","1991-2000",2
"1281C1180","2001-2010",3
"1281C1180","2011-2020",..
"1281C1180","2021-2030",..
"1281C1180","Ok�nt",9
"1281C1180","Totalt",142
"1281C1190","-1920",1
"1281C1190","1921-1930",..
"1281C1190","1931-1940",36
"1281C1190","1941-1950",21
"1281C1190","1951-1960",64
"1281C1190","1961-1970",17
"1281C1190","1971-1980",..
"1281C1190","1981-1990",32
"1281C1190","1991-2000",..
"1281C1190","2001-2010",17
"1281C1190","2011-2020",3
"1281C1190","2021-2030",6
"1281C1190","Ok�nt",5
"1281C1190","Totalt",202
"1281C1200","-1920",1
"1281C1200","1921-1930",2
"1281C1200","1931-1940",12
"1281C1200","1941-1950",2
"1281C1200","1951-1960",94
"1281C1200","1961-1970",83
"1281C1200","1971-1980",..
"1281C1200","1981-1990",..
"1281C1200","1991-2000",4
"1281C1200","2001-2010",2
"1281C1200","2011-2020",1
"1281C1200","2021-2030",..
"1281C1200","Ok�nt",2
"1281C1200","Totalt",203
"1281C1210","-1920",20
"1281C1210","1921-1930",21
"1281C1210","1931-1940",3
"1281C1210","1941-1950",5
"1281C1210","1951-1960",..
"1281C1210","1961-1970",2
"1281C1210","1971-1980",1
"1281C1210","1981-1990",17
"1281C1210","1991-2000",5
"1281C1210","2001-2010",4
"1281C1210","2011-2020",..
"1281C1210","2021-2030",..
"1281C1210","Ok�nt",1
"1281C1210","Totalt",79
"1281C1220","-1920",16
"1281C1220","1921-1930",6
"1281C1220","1931-1940",15
"1281C1220","1941-1950",23
"1281C1220","1951-1960",15
"1281C1220","1961-1970",15
"1281C1220","1971-1980",17
"1281C1220","1981-1990",15
"1281C1220","1991-2000",1
"1281C1220","2001-2010",2
"1281C1220","2011-2020",1
"1281C1220","2021-2030",..
"1281C1220","Ok�nt",..
"1281C1220","Totalt",126
"1281C1230","-1920",..
"1281C1230","1921-1930",..
"1281C1230","1931-1940",..
"1281C1230","1941-1950",..
"1281C1230","1951-1960",1
"1281C1230","1961-1970",394
"1281C1230","1971-1980",..
"1281C1230","1981-1990",23
"1281C1230","1991-2000",143
"1281C1230","2001-2010",1
"1281C1230","2011-2020",20
"1281C1230","2021-2030",..
"1281C1230","Ok�nt",1
"1281C1230","Totalt",583
"1281C1240","-1920",20
"1281C1240","1921-1930",14
"1281C1240","1931-1940",14
"1281C1240","1941-1950",3
"1281C1240","1951-1960",..
"1281C1240","1961-1970",6
"1281C1240","1971-1980",35
"1281C1240","1981-1990",5
"1281C1240","1991-2000",1
"1281C1240","2001-2010",1
"1281C1240","2011-2020",2
"1281C1240","2021-2030",..
"1281C1240","Ok�nt",3
"1281C1240","Totalt",104
"1281C1250","-1920",33
"1281C1250","1921-1930",76
"1281C1250","1931-1940",5
"1281C1250","1941-1950",1
"1281C1250","1951-1960",3
"1281C1250","1961-1970",..
"1281C1250","1971-1980",11
"1281C1250","1981-1990",14
