"Antal lägenheter efter region, upplåtelseform och år"

"region","upplåtelseform","2022"
"0120C1050","uppgift saknas",0
"0120C1060","hyresrätt",231
"0120C1060","bostadsrätt",30
"0120C1060","äganderätt",657
"0120C1060","uppgift saknas",0
"0120C1070","hyresrätt",7
"0120C1070","bostadsrätt",0
"0120C1070","äganderätt",282
"0120C1070","uppgift saknas",0
"0120C1080","hyresrätt",238
"0120C1080","bostadsrätt",460
"0120C1080","äganderätt",157
"0120C1080","uppgift saknas",0
"0120C1090","hyresrätt",84
"0120C1090","bostadsrätt",46
"0120C1090","äganderätt",532
"0120C1090","uppgift saknas",0
"0120C1100","hyresrätt",92
"0120C1100","bostadsrätt",258
"0120C1100","äganderätt",640
"0120C1100","uppgift saknas",0
"0120C1110","hyresrätt",233
"0120C1110","bostadsrätt",1483
"0120C1110","äganderätt",160
"0120C1110","uppgift saknas",0
"0120C1120","hyresrätt",1
"0120C1120","bostadsrätt",483
"0120C1120","äganderätt",297
"0120C1120","uppgift saknas",0
"0120C1130","hyresrätt",393
"0120C1130","bostadsrätt",8
"0120C1130","äganderätt",405
"0120C1130","uppgift saknas",0
"0120C1140","hyresrätt",465
"0120C1140","bostadsrätt",790
"0120C1140","äganderätt",96
"0120C1140","uppgift saknas",0
"0120C1150","hyresrätt",16
"0120C1150","bostadsrätt",12
"0120C1150","äganderätt",666
"0120C1150","uppgift saknas",0
"0120C1160","hyresrätt",19
"0120C1160","bostadsrätt",50
"0120C1160","äganderätt",474
"0120C1160","uppgift saknas",0
"0120C1170","hyresrätt",30
"0120C1170","bostadsrätt",411
"0120C1170","äganderätt",191
"0120C1170","uppgift saknas",0
"0120C1180","hyresrätt",511
"0120C1180","bostadsrätt",444
"0120C1180","äganderätt",91
"0120C1180","uppgift saknas",0
"0120C1190","hyresrätt",430
"0120C1190","bostadsrätt",168
"0120C1190","äganderätt",354
"0120C1190","uppgift saknas",0
"0120C1200","hyresrätt",6
"0120C1200","bostadsrätt",0
"0120C1200","äganderätt",573
"0120C1200","uppgift saknas",0
"0120C1210","hyresrätt",195
"0120C1210","bostadsrätt",26
"0120C1210","äganderätt",761
"0120C1210","uppgift saknas",0
"0120C1220","hyresrätt",17
"0120C1220","bostadsrätt",17
"0120C1220","äganderätt",452
"0120C1220","uppgift saknas",0
"0120C1230","hyresrätt",93
"0120C1230","bostadsrätt",93
"0120C1230","äganderätt",356
"0120C1230","uppgift saknas",0
"0123C1010","hyresrätt",14
"0123C1010","bostadsrätt",36
"0123C1010","äganderätt",696
"0123C1010","uppgift saknas",0
"0123C1020","hyresrätt",3
